"DATE","TIME PERIOD","Total Assets/Liabilities reported by the ECB (stocks) (BSI.M.4F.N.N.T00.A.1.Z5.0000.Z01.E)"
"1999-01-31","1999Jan","120372.00"
"1999-02-28","1999Feb","120146.00"
"1999-03-31","1999Mar","108028.00"
"1999-04-30","1999Apr","89502.00"
"1999-05-31","1999May","81784.00"
"1999-06-30","1999Jun","145811.00"
"1999-07-31","1999Jul","100325.00"
"1999-08-31","1999Aug","95842.00"
"1999-09-30","1999Sep","76193.00"
"1999-10-31","1999Oct","94226.00"
"1999-11-30","1999Nov","82263.00"
"1999-12-31","1999Dec","67187.00"
"2000-01-31","2000Jan","77084.00"
"2000-02-29","2000Feb","67929.00"
"2000-03-31","2000Mar","76033.00"
"2000-04-30","2000Apr","74802.00"
"2000-05-31","2000May","75297.00"
"2000-06-30","2000Jun","104534.00"
"2000-07-31","2000Jul","72476.00"
"2000-08-31","2000Aug","70733.00"
"2000-09-30","2000Sep","86512.00"
"2000-10-31","2000Oct","76140.00"
"2000-11-30","2000Nov","118108.00"
"2000-12-31","2000Dec","113210.00"
"2001-01-31","2001Jan","100679.00"
"2001-02-28","2001Feb","102042.00"
"2001-03-31","2001Mar","98117.00"
"2001-04-30","2001Apr","95168.00"
"2001-05-31","2001May","103928.00"
"2001-06-30","2001Jun","117482.00"
"2001-07-31","2001Jul","116093.00"
"2001-08-31","2001Aug","105456.00"
"2001-09-30","2001Sep","104416.00"
"2001-10-31","2001Oct","104642.00"
"2001-11-30","2001Nov","104475.00"
"2001-12-31","2001Dec","125342.00"
"2002-01-31","2002Jan","140143.00"
"2002-02-28","2002Feb","136643.00"
"2002-03-31","2002Mar","136974.00"
"2002-04-30","2002Apr","127932.00"
"2002-05-31","2002May","128919.00"
"2002-06-30","2002Jun","134501.00"
"2002-07-31","2002Jul","128064.00"
"2002-08-31","2002Aug","126466.00"
"2002-09-30","2002Sep","130054.00"
"2002-10-31","2002Oct","133667.00"
"2002-11-30","2002Nov","129676.00"
"2002-12-31","2002Dec","141377.00"
"2003-01-31","2003Jan","139839.00"
"2003-02-28","2003Feb","136004.00"
"2003-03-31","2003Mar","131457.00"
"2003-04-30","2003Apr","123521.00"
"2003-05-31","2003May","139972.00"
"2003-06-30","2003Jun","148982.00"
"2003-07-31","2003Jul","137781.00"
"2003-08-31","2003Aug","133499.00"
"2003-09-30","2003Sep","138619.00"
"2003-10-31","2003Oct","144314.00"
"2003-11-30","2003Nov","136866.00"
"2003-12-31","2003Dec","131655.00"
"2004-01-31","2004Jan","138929.00"
"2004-02-29","2004Feb","137107.00"
"2004-03-31","2004Mar","136513.00"
"2004-04-30","2004Apr","144533.00"
"2004-05-31","2004May","138351.00"
"2004-06-30","2004Jun","161483.00"
"2004-07-31","2004Jul","155962.00"
"2004-08-31","2004Aug","144545.00"
"2004-09-30","2004Sep","153915.00"
"2004-10-31","2004Oct","163937.00"
"2004-11-30","2004Nov","149992.00"
"2004-12-31","2004Dec","149746.00"
"2005-01-31","2005Jan","163369.00"
"2005-02-28","2005Feb","170129.00"
"2005-03-31","2005Mar","165558.00"
"2005-04-30","2005Apr","165969.00"
"2005-05-31","2005May","161164.00"
"2005-06-30","2005Jun","174269.00"
"2005-07-31","2005Jul","171886.00"
"2005-08-31","2005Aug","167716.00"
"2005-09-30","2005Sep","169592.00"
"2005-10-31","2005Oct","175653.00"
"2005-11-30","2005Nov","175618.00"
"2005-12-31","2005Dec","174324.00"
"2006-01-31","2006Jan","181451.00"
"2006-02-28","2006Feb","181094.00"
"2006-03-31","2006Mar","173090.00"
"2006-04-30","2006Apr","182337.00"
"2006-05-31","2006May","182398.00"
"2006-06-30","2006Jun","197012.00"
"2006-07-31","2006Jul","196618.00"
"2006-08-31","2006Aug","194713.00"
"2006-09-30","2006Sep","186793.00"
"2006-10-31","2006Oct","190021.00"
"2006-11-30","2006Nov","187094.00"
"2006-12-31","2006Dec","185959.00"
"2007-01-31","2007Jan","187647.00"
"2007-02-28","2007Feb","194938.00"
"2007-03-31","2007Mar","187148.00"
"2007-04-30","2007Apr","186641.00"
"2007-05-31","2007May","201642.00"
"2007-06-30","2007Jun","206126.00"
"2007-07-31","2007Jul","208516.00"
"2007-08-31","2007Aug","223617.00"
"2007-09-30","2007Sep","207241.00"
"2007-10-31","2007Oct","238981.00"
"2007-11-30","2007Nov","232368.00"
"2007-12-31","2007Dec","254025.00"
"2008-01-31","2008Jan","281242.00"
"2008-02-29","2008Feb","280272.00"
"2008-03-31","2008Mar","286875.00"
"2008-04-30","2008Apr","299684.00"
"2008-05-31","2008May","294346.00"
"2008-06-30","2008Jun","320042.00"
"2008-07-31","2008Jul","326368.00"
"2008-08-31","2008Aug","349365.00"
"2008-09-30","2008Sep","412329.00"
"2008-10-31","2008Oct","490509.00"
"2008-11-30","2008Nov","513787.00"
"2008-12-31","2008Dec","570591.00"
"2009-01-31","2009Jan","534985.00"
"2009-02-28","2009Feb","528390.00"
"2009-03-31","2009Mar","551730.00"
"2009-04-30","2009Apr","514041.00"
"2009-05-31","2009May","486151.00"
"2009-06-30","2009Jun","484629.00"
"2009-07-31","2009Jul","454379.00"
"2009-08-31","2009Aug","458111.00"
"2009-09-30","2009Sep","479956.00"
"2009-10-31","2009Oct","448080.00"
"2009-11-30","2009Nov","427756.00"
"2009-12-31","2009Dec","448548.00"
"2010-01-31","2010Jan","452829.00"
"2010-02-28","2010Feb","461786.00"
"2010-03-31","2010Mar","459812.00"
"2010-04-30","2010Apr","469444.00"
"2010-05-31","2010May","549448.00"
"2010-06-30","2010Jun","565709.00"
"2010-07-31","2010Jul","562508.00"
"2010-08-31","2010Aug","567535.00"
"2010-09-30","2010Sep","567592.00"
"2010-10-31","2010Oct","553922.00"
"2010-11-30","2010Nov","571801.00"
"2010-12-31","2010Dec","599096.00"
"2011-01-31","2011Jan","577332.00"
"2011-02-28","2011Feb","583821.00"
"2011-03-31","2011Mar","565708.00"
"2011-04-30","2011Apr","570516.00"
"2011-05-31","2011May","594963.00"
"2011-06-30","2011Jun","586830.00"
"2011-07-31","2011Jul","597124.00"
"2011-08-31","2011Aug","691406.00"
"2011-09-30","2011Sep","820534.00"
"2011-10-31","2011Oct","838781.00"
"2011-11-30","2011Nov","936506.00"
"2011-12-31","2011Dec","1023126.00"
"2012-01-31","2012Jan","1045864.00"
"2012-02-29","2012Feb","1059637.00"
"2012-03-31","2012Mar","1142192.00"
"2012-04-30","2012Apr","1147394.00"
"2012-05-31","2012May","1212661.00"
"2012-06-30","2012Jun","1249264.00"
"2012-07-31","2012Jul","1263622.00"
"2012-08-31","2012Aug","1276589.00"
"2012-09-30","2012Sep","1215589.00"
"2012-10-31","2012Oct","1229182.00"
"2012-11-30","2012Nov","1198657.00"
"2012-12-31","2012Dec","1163206.00"
"2013-01-31","2013Jan","1080671.00"
"2013-02-28","2013Feb","1074948.00"
"2013-03-31","2013Mar","1008209.00"
"2013-04-30","2013Apr","1032158.00"
"2013-05-31","2013May","986719.00"
"2013-06-30","2013Jun","963637.00"
"2013-07-31","2013Jul","941863.00"
"2013-08-31","2013Aug","943407.00"
"2013-09-30","2013Sep","938485.00"
"2013-10-31","2013Oct","922454.00"
"2013-11-30","2013Nov","902087.00"
"2013-12-31","2013Dec","861934.00"
"2014-01-31","2014Jan","846351.00"
"2014-02-28","2014Feb","838600.00"
"2014-03-31","2014Mar","817246.00"
"2014-04-30","2014Apr","805963.00"
"2014-05-31","2014May","792779.00"
"2014-06-30","2014Jun","751060.00"
"2014-07-31","2014Jul","724969.00"
"2014-08-31","2014Aug","744527.00"
"2014-09-30","2014Sep","760676.00"
"2014-10-31","2014Oct","755563.00"
"2014-11-30","2014Nov","752101.00"
"2014-12-31","2014Dec","775054.00"
"2015-01-31","2015Jan","804925.00"
"2015-02-28","2015Feb","807182.00"
"2015-03-31","2015Mar","843702.00"
"2015-04-30","2015Apr","856821.00"
"2015-05-31","2015May","872123.00"
"2015-06-30","2015Jun","881810.00"
"2015-07-31","2015Jul","909450.00"
"2015-08-31","2015Aug","950349.00"
"2015-09-30","2015Sep","942107.00"
"2015-10-31","2015Oct","957909.00"
"2015-11-30","2015Nov","997119.00"
"2015-12-31","2015Dec","985566.00"
"2016-01-31","2016Jan","1016293.00"
"2016-02-29","2016Feb","1062618.00"
"2016-03-31","2016Mar","1046279.00"
"2016-04-30","2016Apr","1091279.00"
"2016-05-31","2016May","1135319.00"
"2016-06-30","2016Jun","1133886.00"
"2016-07-31","2016Jul","1148698.00"
"2016-08-31","2016Aug","1170675.00"
"2016-09-30","2016Sep","1236306.00"
"2016-10-31","2016Oct","1223900.00"
"2016-11-30","2016Nov","1263160.00"
"2016-12-31","2016Dec","1256266.00"
"2017-01-31","2017Jan","1281978.00"
"2017-02-28","2017Feb","1335293.00"
"2017-03-31","2017Mar","1388379.00"
"2017-04-30","2017Apr","1401639.00"
"2017-05-31","2017May","1408134.00"
"2017-06-30","2017Jun","1393436.00"
"2017-07-31","2017Jul","1407261.00"
"2017-08-31","2017Aug","1415029.00"
"2017-09-30","2017Sep","1422663.00"
"2017-10-31","2017Oct","1411036.00"
"2017-11-30","2017Nov","1435095.00"
"2017-12-31","2017Dec","1461357.00"
"2018-01-31","2018Jan","1462651.00"
"2018-02-28","2018Feb","1504854.00"
"2018-03-31","2018Mar","1515045.00"
"2018-04-30","2018Apr","1527148.00"
"2018-05-31","2018May","1567852.00"
"2018-06-30","2018Jun","1579116.00"
"2018-07-31","2018Jul","1552059.00"
"2018-08-31","2018Aug","1527065.00"
"2018-09-30","2018Sep","1571532.00"
"2018-10-31","2018Oct","1524836.00"
"2018-11-30","2018Nov","1540628.00"
"2018-12-31","2018Dec","1553873.00"
"2019-01-31","2019Jan","1498435.00"
"2019-02-28","2019Feb","1501933.00"
"2019-03-31","2019Mar","1545766.00"
"2019-04-30","2019Apr","1510882.00"
"2019-05-31","2019May","1528114.00"
"2019-06-30","2019Jun","1519638.00"
"2019-07-31","2019Jul","1491677.00"
"2019-08-31","2019Aug","1499943.00"
"2019-09-30","2019Sep","1540059.00"
"2019-10-31","2019Oct","1449556.00"
"2019-11-30","2019Nov","1463410.00"
"2019-12-31","2019Dec","1505162.00"
"2020-01-31","2020Jan","1427083.00"
"2020-02-29","2020Feb","1447613.00"
"2020-03-31","2020Mar","1684371.00"
"2020-04-30","2020Apr","1727907.00"
"2020-05-31","2020May","1734594.00"
"2020-06-30","2020Jun","1766075.00"
"2020-07-31","2020Jul","1747727.00"
"2020-08-31","2020Aug","1753865.00"
"2020-09-30","2020Sep","1824324.00"
"2020-10-31","2020Oct","1772246.00"
"2020-11-30","2020Nov","1763910.00"
"2020-12-31","2020Dec","1853595.00"
"2021-01-31","2021Jan","1786456.00"
"2021-02-28","2021Feb","1783466.00"
"2021-03-31","2021Mar","1827205.00"
"2021-04-30","2021Apr","1812479.00"
"2021-05-31","2021May","1856820.00"
"2021-06-30","2021Jun","1915313.00"
"2021-07-31","2021Jul","1882249.00"
"2021-08-31","2021Aug","1855416.00"
"2021-09-30","2021Sep","1939838.00"
"2021-10-31","2021Oct","1922001.00"
"2021-11-30","2021Nov","1991751.00"
"2021-12-31","2021Dec","2137139.00"
"2022-01-31","2022Jan","2061144.00"
"2022-02-28","2022Feb","2104720.00"
"2022-03-31","2022Mar","2153181.00"
"2022-04-30","2022Apr","2118490.00"
"2022-05-31","2022May","2147519.00"
"2022-06-30","2022Jun","2208048.00"
"2022-07-31","2022Jul","2145436.00"
"2022-08-31","2022Aug","2219174.00"
"2022-09-30","2022Sep","2292513.00"
"2022-10-31","2022Oct","2191069.00"
"2022-11-30","2022Nov","2186501.00"
"2022-12-31","2022Dec","2214241.00"
"2023-01-31","2023Jan","2116705.00"
"2023-02-28","2023Feb","2078448.00"
"2023-03-31","2023Mar","2131465.00"
"2023-04-30","2023Apr","2055540.00"
"2023-05-31","2023May","2076583.00"
"2023-06-30","2023Jun","2043053.00"
"2023-07-31","2023Jul","2027090.00"
"2023-08-31","2023Aug","1987560.00"
"2023-09-30","2023Sep","2010781.00"
"2023-10-31","2023Oct","1955837.00"
"2023-11-30","2023Nov","1924653.00"
"2023-12-31","2023Dec","1885275.00"
"2024-01-31","2024Jan","1888009.00"
"2024-02-29","2024Feb","1929489.00"
"2024-03-31","2024Mar","1956886.00"
"2024-04-30","2024Apr","1892058.00"
"2024-05-31","2024May","1909146.00"
"2024-06-30","2024Jun","1960680.00"
"2024-07-31","2024Jul","1931092.00"
"2024-08-31","2024Aug","1924110.00"
"2024-09-30","2024Sep","1972903.00"
"2024-10-31","2024Oct","1930957.00"
