"DATE","TIME PERIOD","Euro Area 2 Years Government Benchmark Bond - Yield (FM.M.U2.EUR.4F.BB.U2_2Y.YLD)"
"1970-01-31","1970Jan","7.6160"
"1970-02-28","1970Feb","7.6560"
"1970-03-31","1970Mar","8.2160"
"1970-04-30","1970Apr","8.0160"
"1970-05-31","1970May","8.3060"
"1970-06-30","1970Jun","8.5560"
"1970-07-31","1970Jul","7.8360"
"1970-08-31","1970Aug","7.9660"
"1970-09-30","1970Sep","8.2460"
"1970-10-31","1970Oct","8.1060"
"1970-11-30","1970Nov","7.8860"
"1970-12-31","1970Dec","7.4360"
"1971-01-31","1971Jan","7.1360"
"1971-02-28","1971Feb","7.4260"
"1971-03-31","1971Mar","7.5560"
"1971-04-30","1971Apr","7.2760"
"1971-05-31","1971May","7.4260"
"1971-06-30","1971Jun","7.9160"
"1971-07-31","1971Jul","7.8260"
"1971-08-31","1971Aug","7.6760"
"1971-09-30","1971Sep","7.5960"
"1971-10-31","1971Oct","7.4760"
"1971-11-30","1971Nov","7.3760"
"1971-12-31","1971Dec","7.0960"
"1972-01-31","1972Jan","6.3960"
"1972-02-29","1972Feb","6.1160"
"1972-03-31","1972Mar","6.2160"
"1972-04-30","1972Apr","6.6060"
"1972-05-31","1972May","6.4360"
"1972-06-30","1972Jun","6.8460"
"1972-07-31","1972Jul","6.9560"
"1972-08-31","1972Aug","6.8960"
"1972-09-30","1972Sep","6.6660"
"1972-10-31","1972Oct","7.6160"
"1972-11-30","1972Nov","7.7860"
"1972-12-31","1972Dec","7.9260"
"1973-01-31","1973Jan","7.5960"
"1973-02-28","1973Feb","7.5760"
"1973-03-31","1973Mar","8.0060"
"1973-04-30","1973Apr","8.6860"
"1973-05-31","1973May","9.3160"
"1973-06-30","1973Jun","9.6860"
"1973-07-31","1973Jul","10.1160"
"1973-08-31","1973Aug","9.4060"
"1973-09-30","1973Sep","9.7260"
"1973-10-31","1973Oct","9.3660"
"1973-11-30","1973Nov","9.5160"
"1973-12-31","1973Dec","9.5860"
"1974-01-31","1974Jan","9.3960"
"1974-02-28","1974Feb","10.0060"
"1974-03-31","1974Mar","10.1660"
"1974-04-30","1974Apr","10.0960"
"1974-05-31","1974May","9.8960"
"1974-06-30","1974Jun","9.9360"
"1974-07-31","1974Jul","9.8960"
"1974-08-31","1974Aug","10.0160"
"1974-09-30","1974Sep","10.0760"
"1974-10-31","1974Oct","9.8860"
"1974-11-30","1974Nov","9.2860"
"1974-12-31","1974Dec","8.8760"
"1975-01-31","1975Jan","7.9760"
"1975-02-28","1975Feb","7.2560"
"1975-03-31","1975Mar","7.2360"
"1975-04-30","1975Apr","6.9360"
"1975-05-31","1975May","6.6960"
"1975-06-30","1975Jun","6.8060"
"1975-07-31","1975Jul","6.7660"
"1975-08-31","1975Aug","6.7960"
"1975-09-30","1975Sep","6.8360"
"1975-10-31","1975Oct","6.9260"
"1975-11-30","1975Nov","6.8660"
"1975-12-31","1975Dec","6.8160"
"1976-01-31","1976Jan","6.5360"
"1976-02-29","1976Feb","6.0360"
"1976-03-31","1976Mar","5.9360"
"1976-04-30","1976Apr","5.9560"
"1976-05-31","1976May","6.3060"
"1976-06-30","1976Jun","6.4660"
"1976-07-31","1976Jul","6.8460"
"1976-08-31","1976Aug","6.8560"
"1976-09-30","1976Sep","6.7460"
"1976-10-31","1976Oct","6.7360"
"1976-11-30","1976Nov","6.1660"
"1976-12-31","1976Dec","6.2360"
"1977-01-31","1977Jan","6.1160"
"1977-02-28","1977Feb","6.0160"
"1977-03-31","1977Mar","5.5960"
"1977-04-30","1977Apr","5.3660"
"1977-05-31","1977May","5.2160"
"1977-06-30","1977Jun","5.1660"
"1977-07-31","1977Jul","4.9960"
"1977-08-31","1977Aug","4.7960"
"1977-09-30","1977Sep","4.7860"
"1977-10-31","1977Oct","4.7860"
"1977-11-30","1977Nov","4.7760"
"1977-12-31","1977Dec","4.6760"
"1978-01-31","1978Jan","4.4260"
"1978-02-28","1978Feb","4.2860"
"1978-03-31","1978Mar","4.2260"
"1978-04-30","1978Apr","6.0744"
"1978-05-31","1978May","6.3462"
"1978-06-30","1978Jun","6.4250"
"1978-07-31","1978Jul","6.4917"
"1978-08-31","1978Aug","6.5464"
"1978-09-30","1978Sep","6.5798"
"1978-10-31","1978Oct","6.8552"
"1978-11-30","1978Nov","7.0275"
"1978-12-31","1978Dec","6.9753"
"1979-01-31","1979Jan","6.9655"
"1979-02-28","1979Feb","7.3168"
"1979-03-31","1979Mar","7.5484"
"1979-04-30","1979Apr","8.1374"
"1979-05-31","1979May","8.6682"
"1979-06-30","1979Jun","8.5975"
"1979-07-31","1979Jul","8.6419"
"1979-08-31","1979Aug","8.6685"
"1979-09-30","1979Sep","8.9425"
"1979-10-31","1979Oct","9.4567"
"1979-11-30","1979Nov","9.5207"
"1979-12-31","1979Dec","9.7778"
"1980-01-31","1980Jan","9.9654"
"1980-02-29","1980Feb","10.2571"
"1980-03-31","1980Mar","10.9770"
"1980-04-30","1980Apr","11.2313"
"1980-05-31","1980May","10.5917"
"1980-06-30","1980Jun","9.9921"
"1980-07-31","1980Jul","9.8963"
"1980-08-31","1980Aug","9.8564"
"1980-09-30","1980Sep","10.0167"
"1980-10-31","1980Oct","10.2366"
"1980-11-30","1980Nov","10.6568"
"1980-12-31","1980Dec","10.6584"
"1981-01-31","1981Jan","10.7358"
"1981-02-28","1981Feb","11.4734"
"1981-03-31","1981Mar","11.9946"
"1981-04-30","1981Apr","11.8160"
"1981-05-31","1981May","12.4667"
"1981-06-30","1981Jun","12.7107"
"1981-07-31","1981Jul","12.5176"
"1981-08-31","1981Aug","12.8590"
"1981-09-30","1981Sep","12.9617"
"1981-10-31","1981Oct","11.7392"
"1981-11-30","1981Nov","11.3779"
"1981-12-31","1981Dec","11.2875"
"1982-01-31","1982Jan","11.0675"
"1982-02-28","1982Feb","11.4381"
"1982-03-31","1982Mar","11.0384"
"1982-04-30","1982Apr","10.7262"
"1982-05-31","1982May","10.4483"
"1982-06-30","1982Jun","10.7516"
"1982-07-31","1982Jul","10.8799"
"1982-08-31","1982Aug","10.5495"
"1982-09-30","1982Sep","10.0615"
"1982-10-31","1982Oct","9.8395"
"1982-11-30","1982Nov","9.8530"
"1982-12-31","1982Dec","9.2426"
"1983-01-31","1983Jan","8.9312"
"1983-02-28","1983Feb","8.9229"
"1983-03-31","1983Mar","8.5448"
"1983-04-30","1983Apr","8.6998"
"1983-05-31","1983May","9.0626"
"1983-06-30","1983Jun","9.6816"
"1983-07-31","1983Jul","9.6603"
"1983-08-31","1983Aug","10.1067"
"1983-09-30","1983Sep","10.0872"
"1983-10-31","1983Oct","10.0221"
"1983-11-30","1983Nov","10.2057"
"1983-12-31","1983Dec","10.1097"
"1984-01-31","1984Jan","9.5661"
"1984-02-29","1984Feb","9.4694"
"1984-03-31","1984Mar","9.1687"
"1984-04-30","1984Apr","9.1838"
"1984-05-31","1984May","9.4731"
"1984-06-30","1984Jun","9.4232"
"1984-07-31","1984Jul","9.3585"
"1984-08-31","1984Aug","9.2550"
"1984-09-30","1984Sep","8.9229"
"1984-10-31","1984Oct","8.5809"
"1984-11-30","1984Nov","8.1670"
"1984-12-31","1984Dec","7.8530"
"1985-01-31","1985Jan","8.0467"
"1985-02-28","1985Feb","8.4901"
"1985-03-31","1985Mar","9.3998"
"1985-04-30","1985Apr","9.0690"
"1985-05-31","1985May","8.8324"
"1985-06-30","1985Jun","8.7321"
"1985-07-31","1985Jul","8.6945"
"1985-08-31","1985Aug","8.4768"
"1985-09-30","1985Sep","8.3708"
"1985-10-31","1985Oct","8.2292"
"1985-11-30","1985Nov","8.0641"
"1985-12-31","1985Dec","8.0853"
"1986-01-31","1986Jan","8.1391"
"1986-02-28","1986Feb","7.9563"
"1986-03-31","1986Mar","7.3661"
"1986-04-30","1986Apr","7.0581"
"1986-05-31","1986May","7.0199"
"1986-06-30","1986Jun","7.0294"
"1986-07-31","1986Jul","6.9883"
"1986-08-31","1986Aug","6.8240"
"1986-09-30","1986Sep","6.6785"
"1986-10-31","1986Oct","6.8680"
"1986-11-30","1986Nov","7.1718"
"1986-12-31","1986Dec","7.2458"
"1987-01-31","1987Jan","7.2176"
"1987-02-28","1987Feb","7.0732"
"1987-03-31","1987Mar","6.9104"
"1987-04-30","1987Apr","6.9374"
"1987-05-31","1987May","7.1557"
"1987-06-30","1987Jun","7.1694"
"1987-07-31","1987Jul","7.2498"
"1987-08-31","1987Aug","7.4341"
"1987-09-30","1987Sep","7.5255"
"1987-10-31","1987Oct","8.0216"
"1987-11-30","1987Nov","7.6028"
"1987-12-31","1987Dec","7.4757"
"1988-01-31","1988Jan","7.2778"
"1988-02-29","1988Feb","6.9009"
"1988-03-31","1988Mar","6.6544"
"1988-04-30","1988Apr","6.6192"
"1988-05-31","1988May","6.7148"
"1988-06-30","1988Jun","6.6323"
"1988-07-31","1988Jul","7.0242"
"1988-08-31","1988Aug","7.2980"
"1988-09-30","1988Sep","7.3460"
"1988-10-31","1988Oct","7.2863"
"1988-11-30","1988Nov","7.3255"
"1988-12-31","1988Dec","7.5508"
"1989-01-31","1989Jan","8.8631"
"1989-02-28","1989Feb","9.3695"
"1989-03-31","1989Mar","9.6062"
"1989-04-30","1989Apr","9.5005"
"1989-05-31","1989May","9.6420"
"1989-06-30","1989Jun","9.7335"
"1989-07-31","1989Jul","9.6276"
"1989-08-31","1989Aug","9.5391"
"1989-09-30","1989Sep","9.7834"
"1989-10-31","1989Oct","10.1121"
"1989-11-30","1989Nov","10.5514"
"1989-12-31","1989Dec","10.6390"
"1990-01-31","1990Jan","10.8328"
"1990-02-28","1990Feb","11.1334"
"1990-03-31","1990Mar","11.2241"
"1990-04-30","1990Apr","10.9308"
"1990-05-31","1990May","10.8008"
"1990-06-30","1990Jun","10.6507"
"1990-07-31","1990Jul","10.5860"
"1990-08-31","1990Aug","10.9048"
"1990-09-30","1990Sep","10.9419"
"1990-10-31","1990Oct","10.8495"
"1990-11-30","1990Nov","10.8481"
"1990-12-31","1990Dec","11.0293"
"1991-01-31","1991Jan","10.9529"
"1991-02-28","1991Feb","10.6465"
"1991-03-31","1991Mar","10.3821"
"1991-04-30","1991Apr","10.2371"
"1991-05-31","1991May","10.0664"
"1991-06-30","1991Jun","10.0631"
"1991-07-31","1991Jul","10.3297"
"1991-08-31","1991Aug","10.3634"
"1991-09-30","1991Sep","10.1966"
"1991-10-31","1991Oct","10.1057"
"1991-11-30","1991Nov","10.1668"
"1991-12-31","1991Dec","10.3112"
"1992-01-31","1992Jan","9.9904"
"1992-02-29","1992Feb","9.9497"
"1992-03-31","1992Mar","10.0367"
"1992-04-30","1992Apr","10.1015"
"1992-05-31","1992May","10.1071"
"1992-06-30","1992Jun","10.3452"
"1992-07-31","1992Jul","10.6957"
"1992-08-31","1992Aug","10.8843"
"1992-09-30","1992Sep","10.9677"
"1992-10-31","1992Oct","10.2689"
"1992-11-30","1992Nov","9.6538"
"1992-12-31","1992Dec","9.7771"
"1993-01-31","1993Jan","9.4905"
"1993-02-28","1993Feb","9.1208"
"1993-03-31","1993Mar","8.7625"
"1993-04-30","1993Apr","8.7063"
"1993-05-31","1993May","8.2869"
"1993-06-30","1993Jun","7.9299"
"1993-07-31","1993Jul","7.4940"
"1993-08-31","1993Aug","7.0755"
"1993-09-30","1993Sep","7.0036"
"1993-10-31","1993Oct","6.7718"
"1993-11-30","1993Nov","6.6313"
"1993-12-31","1993Dec","6.3555"
"1994-01-31","1994Jan","5.9900"
"1994-02-28","1994Feb","6.4800"
"1994-03-31","1994Mar","6.5100"
"1994-04-30","1994Apr","6.5700"
"1994-05-31","1994May","6.6900"
"1994-06-30","1994Jun","6.9600"
"1994-07-31","1994Jul","7.0200"
"1994-08-31","1994Aug","7.5600"
"1994-09-30","1994Sep","7.7500"
"1994-10-31","1994Oct","7.6100"
"1994-11-30","1994Nov","7.6000"
"1994-12-31","1994Dec","8.0800"
"1995-01-31","1995Jan","7.7800"
"1995-02-28","1995Feb","7.8100"
"1995-03-31","1995Mar","7.6400"
"1995-04-30","1995Apr","7.4500"
"1995-05-31","1995May","6.9700"
"1995-06-30","1995Jun","7.1800"
"1995-07-31","1995Jul","6.8900"
"1995-08-31","1995Aug","6.5800"
"1995-09-30","1995Sep","6.5400"
"1995-10-31","1995Oct","6.3900"
"1995-11-30","1995Nov","6.0400"
"1995-12-31","1995Dec","5.6900"
"1996-01-31","1996Jan","5.3000"
"1996-02-29","1996Feb","5.5100"
"1996-03-31","1996Mar","5.5700"
"1996-04-30","1996Apr","5.0500"
"1996-05-31","1996May","5.0800"
"1996-06-30","1996Jun","5.1900"
"1996-07-31","1996Jul","5.2000"
"1996-08-31","1996Aug","5.1000"
"1996-09-30","1996Sep","4.7800"
"1996-10-31","1996Oct","4.5700"
"1996-11-30","1996Nov","4.3000"
"1996-12-31","1996Dec","4.1700"
"1997-01-31","1997Jan","4.1300"
"1997-02-28","1997Feb","4.2700"
"1997-03-31","1997Mar","4.5400"
"1997-04-30","1997Apr","4.3900"
"1997-05-31","1997May","4.3700"
"1997-06-30","1997Jun","4.1200"
"1997-07-31","1997Jul","4.2700"
"1997-08-31","1997Aug","4.4200"
"1997-09-30","1997Sep","4.3300"
"1997-10-31","1997Oct","4.5600"
"1997-11-30","1997Nov","4.4200"
"1997-12-31","1997Dec","4.3300"
"1998-01-31","1998Jan","4.1100"
"1998-02-28","1998Feb","4.0800"
"1998-03-31","1998Mar","4.1700"
"1998-04-30","1998Apr","4.2600"
"1998-05-31","1998May","4.1300"
"1998-06-30","1998Jun","4.0800"
"1998-07-31","1998Jul","4.0400"
"1998-08-31","1998Aug","3.6800"
"1998-09-30","1998Sep","3.5500"
"1998-10-31","1998Oct","3.3900"
"1998-11-30","1998Nov","3.3300"
"1998-12-31","1998Dec","3.1600"
"1999-01-31","1999Jan","2.9967"
"1999-02-28","1999Feb","3.0502"
"1999-03-31","1999Mar","3.0843"
"1999-04-30","1999Apr","2.8256"
"1999-05-31","1999May","2.8001"
"1999-06-30","1999Jun","3.0793"
"1999-07-31","1999Jul","3.2938"
"1999-08-31","1999Aug","3.5580"
"1999-09-30","1999Sep","3.6613"
"1999-10-31","1999Oct","4.0733"
"1999-11-30","1999Nov","3.9876"
"1999-12-31","1999Dec","4.1763"
"2000-01-31","2000Jan","4.3800"
"2000-02-29","2000Feb","4.5451"
"2000-03-31","2000Mar","4.5880"
"2000-04-30","2000Apr","4.5759"
"2000-05-31","2000May","5.0022"
"2000-06-30","2000Jun","5.0204"
"2000-07-31","2000Jul","5.1898"
"2000-08-31","2000Aug","5.2833"
"2000-09-30","2000Sep","5.2220"
"2000-10-31","2000Oct","5.1684"
"2000-11-30","2000Nov","5.1168"
"2000-12-31","2000Dec","4.7364"
"2001-01-31","2001Jan","4.4916"
"2001-02-28","2001Feb","4.5173"
"2001-03-31","2001Mar","4.3741"
"2001-04-30","2001Apr","4.4516"
"2001-05-31","2001May","4.5101"
"2001-06-30","2001Jun","4.3415"
"2001-07-31","2001Jul","4.3271"
"2001-08-31","2001Aug","4.1071"
"2001-09-30","2001Sep","3.7730"
"2001-10-31","2001Oct","3.4384"
"2001-11-30","2001Nov","3.3581"
"2001-12-31","2001Dec","3.6574"
"2002-01-31","2002Jan","3.8411"
"2002-02-28","2002Feb","3.9619"
"2002-03-31","2002Mar","4.2460"
"2002-04-30","2002Apr","4.2074"
"2002-05-31","2002May","4.2525"
"2002-06-30","2002Jun","4.1012"
"2002-07-31","2002Jul","3.8032"
"2002-08-31","2002Aug","3.4655"
"2002-09-30","2002Sep","3.1931"
"2002-10-31","2002Oct","3.1281"
"2002-11-30","2002Nov","3.0415"
"2002-12-31","2002Dec","2.8376"
"2003-01-31","2003Jan","2.6360"
"2003-02-28","2003Feb","2.4501"
"2003-03-31","2003Mar","2.4999"
"2003-04-30","2003Apr","2.5898"
"2003-05-31","2003May","2.3060"
"2003-06-30","2003Jun","2.0757"
"2003-07-31","2003Jul","2.3006"
"2003-08-31","2003Aug","2.6320"
"2003-09-30","2003Sep","2.5299"
"2003-10-31","2003Oct","2.5867"
"2003-11-30","2003Nov","2.7002"
"2003-12-31","2003Dec","2.5815"
"2004-01-31","2004Jan","2.4085"
"2004-02-29","2004Feb","2.3764"
"2004-03-31","2004Mar","2.1603"
"2004-04-30","2004Apr","2.3879"
"2004-05-31","2004May","2.5469"
"2004-06-30","2004Jun","2.7367"
"2004-07-31","2004Jul","2.6984"
"2004-08-31","2004Aug","2.5327"
"2004-09-30","2004Sep","2.5954"
"2004-10-31","2004Oct","2.4716"
"2004-11-30","2004Nov","2.4136"
"2004-12-31","2004Dec","2.3612"
"2005-01-31","2005Jan","2.3900"
"2005-02-28","2005Feb","2.4547"
"2005-03-31","2005Mar","2.4943"
"2005-04-30","2005Apr","2.3443"
"2005-05-31","2005May","2.2185"
"2005-06-30","2005Jun","2.0736"
"2005-07-31","2005Jul","2.1869"
"2005-08-31","2005Aug","2.2393"
"2005-09-30","2005Sep","2.2124"
"2005-10-31","2005Oct","2.4529"
"2005-11-30","2005Nov","2.7317"
"2005-12-31","2005Dec","2.7999"
"2006-01-31","2006Jan","2.8626"
"2006-02-28","2006Feb","2.9736"
"2006-03-31","2006Mar","3.2200"
"2006-04-30","2006Apr","3.3678"
"2006-05-31","2006May","3.3790"
"2006-06-30","2006Jun","3.4744"
"2006-07-31","2006Jul","3.5844"
"2006-08-31","2006Aug","3.5859"
"2006-09-30","2006Sep","3.6224"
"2006-10-31","2006Oct","3.6850"
"2006-11-30","2006Nov","3.7106"
"2006-12-31","2006Dec","3.7922"
"2007-01-31","2007Jan","3.9335"
"2007-02-28","2007Feb","3.9522"
"2007-03-31","2007Mar","3.9393"
"2007-04-30","2007Apr","4.1072"
"2007-05-31","2007May","4.2580"
"2007-06-30","2007Jun","4.4541"
"2007-07-31","2007Jul","4.4836"
"2007-08-31","2007Aug","4.1860"
"2007-09-30","2007Sep","4.0984"
"2007-10-31","2007Oct","4.1084"
"2007-11-30","2007Nov","3.9406"
"2007-12-31","2007Dec","4.0573"
"2008-01-31","2008Jan","3.7376"
"2008-02-29","2008Feb","3.3991"
"2008-03-31","2008Mar","3.5431"
"2008-04-30","2008Apr","3.8634"
"2008-05-31","2008May","4.1346"
"2008-06-30","2008Jun","4.7240"
"2008-07-31","2008Jul","4.6128"
"2008-08-31","2008Aug","4.2612"
"2008-09-30","2008Sep","4.0946"
"2008-10-31","2008Oct","3.2713"
"2008-11-30","2008Nov","2.7974"
"2008-12-31","2008Dec","2.6226"
"2009-01-31","2009Jan","2.1330"
"2009-02-28","2009Feb","1.8137"
"2009-03-31","2009Mar","1.7407"
"2009-04-30","2009Apr","1.7079"
"2009-05-31","2009May","1.5438"
"2009-06-30","2009Jun","1.6712"
"2009-07-31","2009Jul","1.3821"
"2009-08-31","2009Aug","1.4263"
"2009-09-30","2009Sep","1.2761"
"2009-10-31","2009Oct","1.3882"
"2009-11-30","2009Nov","1.3378"
"2009-12-31","2009Dec","1.3806"
"2010-01-31","2010Jan","1.5023"
"2010-02-28","2010Feb","1.6238"
"2010-03-31","2010Mar","1.3949"
"2010-04-30","2010Apr","1.7425"
"2010-05-31","2010May","1.8395"
"2010-06-30","2010Jun","1.8143"
"2010-07-31","2010Jul","1.7933"
"2010-08-31","2010Aug","1.6886"
"2010-09-30","2010Sep","1.8283"
"2010-10-31","2010Oct","1.6019"
"2010-11-30","2010Nov","2.0055"
"2010-12-31","2010Dec","2.2277"
"2011-01-31","2011Jan","2.2808"
"2011-02-28","2011Feb","2.4576"
"2011-03-31","2011Mar","2.8100"
"2011-04-30","2011Apr","3.3025"
"2011-05-31","2011May","3.5727"
"2011-06-30","2011Jun","3.5544"
"2011-07-31","2011Jul","4.1355"
"2011-08-31","2011Aug","4.2073"
"2011-09-30","2011Sep","5.4085"
"2011-10-31","2011Oct","6.3560"
"2011-11-30","2011Nov","8.7518"
"2011-12-31","2011Dec","10.2185"
"2012-01-31","2012Jan","11.5892"
"2012-02-29","2012Feb","13.5587"
"2012-03-31","2012Mar","6.1202"
"2012-04-30","2012Apr","1.6901"
"2012-05-31","2012May","1.7722"
"2012-06-30","2012Jun","2.1238"
"2012-07-31","2012Jul","1.9133"
"2012-08-31","2012Aug","1.6701"
"2012-09-30","2012Sep","1.3147"
"2012-10-31","2012Oct","1.3054"
"2012-11-30","2012Nov","1.2109"
"2012-12-31","2012Dec","1.0408"
"2013-01-31","2013Jan","0.9046"
"2013-02-28","2013Feb","1.1023"
"2013-03-31","2013Mar","1.0175"
"2013-04-30","2013Apr","0.8709"
"2013-05-31","2013May","0.7602"
"2013-06-30","2013Jun","1.0546"
"2013-07-31","2013Jul","1.0414"
"2013-08-31","2013Aug","1.0392"
"2013-09-30","2013Sep","1.0695"
"2013-10-31","2013Oct","0.8930"
"2013-11-30","2013Nov","0.6440"
"2013-12-31","2013Dec","0.6946"
"2014-01-31","2014Jan","0.6077"
"2014-02-28","2014Feb","0.5250"
"2014-03-31","2014Mar","0.5040"
"2014-04-30","2014Apr","0.4602"
"2014-05-31","2014May","0.4358"
"2014-06-30","2014Jun","0.3099"
"2014-07-31","2014Jul","0.2477"
"2014-08-31","2014Aug","0.1840"
"2014-09-30","2014Sep","0.1398"
"2014-10-31","2014Oct","0.2239"
"2014-11-30","2014Nov","0.2341"
"2014-12-31","2014Dec","0.2393"
"2015-01-31","2015Jan","0.1708"
"2015-02-28","2015Feb","0.0897"
"2015-03-31","2015Mar","0.0159"
"2015-04-30","2015Apr","-0.0377"
"2015-05-31","2015May","-0.0231"
"2015-06-30","2015Jun","0.0507"
"2015-07-31","2015Jul","-0.0034"
"2015-08-31","2015Aug","-0.0478"
"2015-09-30","2015Sep","-0.0384"
"2015-10-31","2015Oct","-0.0963"
"2015-11-30","2015Nov","-0.1442"
"2015-12-31","2015Dec","-0.1402"
"2016-01-31","2016Jan","-0.2046"
"2016-02-29","2016Feb","-0.2289"
"2016-03-31","2016Mar","-0.2494"
"2016-04-30","2016Apr","-0.2393"
"2016-05-31","2016May","-0.2800"
"2016-06-30","2016Jun","-0.3041"
"2016-07-31","2016Jul","-0.3617"
"2016-08-31","2016Aug","-0.3780"
"2016-09-30","2016Sep","-0.3993"
"2016-10-31","2016Oct","-0.3962"
"2016-11-30","2016Nov","-0.3021"
"2016-12-31","2016Dec","-0.4179"
"2017-01-31","2017Jan","-0.4086"
"2017-02-28","2017Feb","-0.3788"
"2017-03-31","2017Mar","-0.3689"
"2017-04-30","2017Apr","-0.3469"
"2017-05-31","2017May","-0.3757"
"2017-06-30","2017Jun","-0.3937"
"2017-07-31","2017Jul","-0.3694"
"2017-08-31","2017Aug","-0.4247"
"2017-09-30","2017Sep","-0.4281"
"2017-10-31","2017Oct","-0.4213"
"2017-11-30","2017Nov","-0.4823"
"2017-12-31","2017Dec","-0.4652"
"2018-01-31","2018Jan","-0.3679"
"2018-02-28","2018Feb","-0.3338"
"2018-03-31","2018Mar","-0.3634"
"2018-04-30","2018Apr","-0.3844"
"2018-05-31","2018May","-0.2517"
"2018-06-30","2018Jun","-0.1197"
"2018-07-31","2018Jul","-0.1877"
"2018-08-31","2018Aug","-0.0375"
"2018-09-30","2018Sep","-0.1141"
"2018-10-31","2018Oct","0.0167"
"2018-11-30","2018Nov","-0.0439"
"2018-12-31","2018Dec","-0.1952"
"2019-01-31","2019Jan","-0.2340"
"2019-02-28","2019Feb","-0.1985"
"2019-03-31","2019Mar","-0.2767"
"2019-04-30","2019Apr","-0.2232"
"2019-05-31","2019May","-0.2389"
"2019-06-30","2019Jun","-0.3387"
"2019-07-31","2019Jul","-0.4682"
"2019-08-31","2019Aug","-0.5361"
"2019-09-30","2019Sep","-0.5662"
"2019-10-31","2019Oct","-0.4857"
"2019-11-30","2019Nov","-0.4196"
"2019-12-31","2019Dec","-0.4323"
"2020-01-31","2020Jan","-0.4293"
"2020-02-29","2020Feb","-0.4852"
"2020-03-31","2020Mar","-0.2973"
"2020-04-30","2020Apr","-0.1282"
"2020-05-31","2020May","-0.2406"
"2020-06-30","2020Jun","-0.3573"
"2020-07-31","2020Jul","-0.4235"
"2020-08-31","2020Aug","-0.4489"
"2020-09-30","2020Sep","-0.4960"
"2020-10-31","2020Oct","-0.5768"
"2020-11-30","2020Nov","-0.6074"
"2020-12-31","2020Dec","-0.6284"
"2021-01-31","2021Jan","-0.5869"
"2021-02-28","2021Feb","-0.5694"
"2021-03-31","2021Mar","-0.5666"
"2021-04-30","2021Apr","-0.5554"
"2021-05-31","2021May","-0.5229"
"2021-06-30","2021Jun","-0.5454"
"2021-07-31","2021Jul","-0.5812"
"2021-08-31","2021Aug","-0.6397"
"2021-09-30","2021Sep","-0.6198"
"2021-10-31","2021Oct","-0.5913"
"2021-11-30","2021Nov","-0.6506"
"2021-12-31","2021Dec","-0.5385"
"2022-01-31","2022Jan","-0.4525"
"2022-02-28","2022Feb","-0.1919"
"2022-03-31","2022Mar","-0.1651"
"2022-04-30","2022Apr","0.2501"
"2022-05-31","2022May","0.4816"
"2022-06-30","2022Jun","1.0287"
"2022-07-31","2022Jul","0.7037"
"2022-08-31","2022Aug","0.9074"
"2022-09-30","2022Sep","1.8073"
"2022-10-31","2022Oct","2.1875"
"2022-11-30","2022Nov","2.3232"
"2022-12-31","2022Dec","2.5452"
"2023-01-31","2023Jan","2.7675"
"2023-02-28","2023Feb","3.0084"
"2023-03-31","2023Mar","3.0203"
"2023-04-30","2023Apr","2.9771"
"2023-05-31","2023May","2.9928"
"2023-06-30","2023Jun","3.2857"
"2023-07-31","2023Jul","3.4676"
"2023-08-31","2023Aug","3.3590"
"2023-09-30","2023Sep","3.4952"
"2023-10-31","2023Oct","3.5287"
"2023-11-30","2023Nov","3.3236"
"2023-12-31","2023Dec","2.8209"
"2024-01-31","2024Jan","2.8323"
"2024-02-29","2024Feb","2.9858"
"2024-03-31","2024Mar","3.0398"
"2024-04-30","2024Apr","3.1299"
"2024-05-31","2024May","3.1859"
"2024-06-30","2024Jun","3.1728"
"2024-07-31","2024Jul","2.9944"
"2024-08-31","2024Aug","2.6335"
"2024-09-30","2024Sep","2.4268"
"2024-10-31","2024Oct","2.3836"
"2024-11-30","2024Nov","2.3473"
"2024-12-31","2024Dec","2.2008"
